time,x-axis,y-axis,z-axis
5.134826,-1.9282,-1.6714,-0.2756
5.151607,-1.9595,-2.7862,-0.1811
5.16888,-1.213,-1.902,-0.3668
5.185941,0.1939,-0.498,-0.45
5.203267,1.0361,0.1763,0.3505
5.220136,1.1982,0.2589,0.8158
5.237041,1.0891,0.3007,0.7296
5.255511,0.7981,0.4096,0.5703
5.270979,0.2821,0.3583,0.625
5.288052,-0.202,0.2021,0.8794
5.305088,-0.5157,0.2157,1.1844
5.322355,-0.6708,0.2014,1.3545
5.339023,-0.7537,0.0593,1.2929
5.356068,-0.7438,-0.0398,0.792
5.373034,-0.6544,-0.0768,0.0821
5.390399,-0.8028,-0.1317,-0.632
5.407074,-1.2561,-0.1799,-1.4386
5.42482,-1.9665,-0.2579,-2.2086
5.441171,-2.5972,-0.3447,-2.1347
5.458292,-2.7327,-0.2648,-1.5714
5.475724,-2.4035,-0.089,-0.826
5.499061,-1.9228,0.0398,-0.1038
5.509677,-1.445,0.0131,0.3432
5.526583,-1.1047,-0.1273,0.4534
5.543671,-0.9902,-0.3204,0.4956
5.560563,-1.0485,-0.4099,0.4852
5.577559,-1.1816,-0.3688,0.2984
5.5949,-1.2782,-0.14,-0.0135
5.611741,-1.211,0.1882,-0.3812
5.628865,-0.9755,0.311,-0.7775
5.646108,-0.709,0.1885,-1.172
5.66319,-0.4592,-0.0771,-1.3132
5.680273,-0.2406,-0.4495,-1.2658
5.697108,-0.0397,-0.8356,-1.324
5.714379,0.0977,-0.9616,-1.3353
5.730788,0.2087,-0.9847,-1.0079
5.747932,0.4571,-1.011,-0.4328
5.765123,0.7587,-0.9506,-0.181
5.781888,0.8453,-0.763,0.0143
5.799853,0.6174,-0.3895,0.5308
5.816173,0.2894,0.0821,1.0142
5.832934,0.0888,0.2015,1.3953
5.849997,-0.284,-0.1844,1.2747
5.867179,-0.4658,-0.4723,1.1318
5.88418,-0.5525,-0.3705,0.946
5.901263,-0.4602,-0.0302,0.8059
5.918248,-0.1985,0.2803,0.5788
5.93562,0.0221,0.4595,0.266
5.952786,0.0849,0.5556,0.0245
5.969635,0.1106,0.5631,-0.1725
5.986852,0.1079,0.4881,-0.2464
6.00476,0.0483,0.2715,-0.3738
6.020333,-0.0648,0.1786,-0.61
6.037412,-0.1947,0.178,-0.7138
6.054817,-0.2957,0.1696,-0.6385
6.071546,-0.5069,0.3411,-0.5811
6.088569,-0.632,0.4792,-0.6636
6.106261,-0.6208,0.4713,-0.6442
6.122827,-0.6505,0.3893,-0.7897
6.139946,-0.566,0.4055,-0.7401
6.15671,-0.4162,0.4404,-0.6281
6.174651,-0.3271,0.6137,-0.5868
6.191568,-0.3229,0.8637,-0.4259
6.213646,-0.276,1.1352,-0.1573
6.226318,-0.1117,1.0337,-0.0394
6.246519,-0.0646,1.0692,0.203
6.259151,-0.0645,1.1379,0.3538
6.276068,-0.0922,1.0235,0.3193
6.293183,-0.1305,1.0558,0.3091
6.309998,-0.0776,1.0098,0.3168
6.327048,-0.0834,1.1265,0.5209
6.344137,-0.1296,1.1828,0.7213
6.361283,-0.2504,1.2396,0.712
6.378441,-0.3469,1.2953,0.7139
6.396085,-0.3989,1.3448,0.6533
6.412297,-0.3984,1.2842,0.5883
6.429487,-0.3089,1.1772,0.5443
6.44622,-0.1438,1.1879,0.5664
6.46373,0.1036,1.2201,0.5233
6.480261,0.3147,1.0395,0.3739
6.497537,0.2995,0.6626,0.5968
6.514802,0.5159,-0.5175,0.9734
6.531397,0.9287,-1.7656,-0.0444
6.548575,1.4155,-1.9471,-1.978
6.56623,1.3935,-1.3782,-3.24
6.582812,0.5479,-2.7483,-7.4434
6.600716,0.0151,-10.6073,-8.3592
6.616761,0.6673,-16.4693,-2.2455
6.633672,-0.9989,-8.8468,0.5114
6.65089,-0.3093,1.6088,5.5229
6.667841,0.855,8.791,8.3551
6.685176,2.3421,12.5213,6.6408
6.702653,1.3957,11.3118,3.2138
6.718981,-1.7161,5.5741,2.866
6.735913,-3.6506,-2.8081,2.8803
6.753362,-2.44,-12.5719,-0.4282
6.769935,-1.1766,-10.5831,-3.4254
6.787395,0.8469,-2.5774,0.6178
6.804124,1.6973,2.6218,2.7507
6.821107,2.5906,5.0191,2.2677
6.838379,3.0835,4.4657,0.9596
6.855665,2.2818,2.2045,1.0126
6.873248,0.5518,-0.4386,1.0611
6.89073,-1.1957,-2.4737,0.4451
6.90641,-2.1088,-2.3563,-0.0273
6.923424,-2.2785,-1.1079,0.1585
6.940271,-2.0051,0.2117,0.5411
6.957987,-1.2053,0.917,0.202
6.97498,-0.3662,0.7635,-0.4393
6.991474,-0.1169,0.1008,-0.1902
7.008773,-0.3636,-0.4201,0.2098
7.025892,-1.2351,-0.4981,0.1972
7.043024,-1.8614,-0.631,0.2539
7.059805,-2.0285,-0.5726,0.4485
7.077035,-1.8227,-0.4082,0.741
7.094189,-1.4695,-0.2173,1.2789
7.110674,-1.1179,-0.0042,1.7551
7.127688,-0.8268,0.1761,2.0947
7.145418,-0.5348,0.1488,1.8352
7.167294,-0.3221,-0.1208,1.2339
7.183815,-0.2354,-0.3817,0.6321
7.225453,-0.2473,-0.3831,0.2229
7.22577,-0.4725,-0.2089,-0.0527
7.293411,-0.6806,0.0921,0.1317
7.293652,-0.7309,0.1069,0.5658
7.293799,-0.6093,0.0021,0.7171
7.295041,-0.3258,-0.0005,0.6998
7.297912,0.0055,-0.0456,0.5143
7.315281,0.2518,0.0204,0.5165
7.332527,0.3351,0.1998,0.6245
7.349267,0.3056,0.5338,0.692
7.366347,0.2208,0.7052,0.5081
7.383105,0.0788,0.8035,0.348
7.400254,-0.1496,0.6417,0.2971
7.417293,-0.3626,-0.0458,0.1065
7.434375,-0.5571,-0.653,-0.264
7.451293,-0.6171,-0.5721,-0.6965
7.468586,-0.3348,-0.1071,-0.79
7.485617,0.0784,0.129,-0.7124
7.503317,0.3607,0.0631,-0.6444
7.51959,0.419,0.1664,-0.4927
7.536685,0.16,0.5154,-0.106
7.553492,-0.1995,0.7274,0.3728
7.570952,-0.4246,0.7065,0.6234
7.588237,-0.4159,0.5093,0.5788
7.605097,-0.2391,0.2721,0.555
7.621629,-0.23,0.2789,0.5649
7.6388,-0.4767,0.4413,0.6227
7.65641,-0.7671,0.2734,0.6937
7.672842,-0.9782,-0.0434,0.8651
7.68976,-0.9451,-0.2735,0.9086
7.70674,-0.6867,-0.2735,0.8894
7.724121,-0.3371,-0.1143,0.7162
7.740939,-0.1779,0.1139,0.3641
7.757819,-0.3573,0.0805,0.1858
7.774978,-0.7321,-0.1014,0.0997
7.792449,-1.0097,-0.1841,0.0298
7.808902,-1.1403,-0.1227,-0.1288
7.825931,-1.2222,0.041,-0.4195
7.843204,-1.3484,0.1693,-0.7506
7.860134,-1.5356,0.1826,-1.0479
7.87752,-1.646,0.1107,-1.282
7.894458,-1.7969,-0.0188,-1.2733
7.91171,-2.0583,-0.7223,-0.9823
7.928651,-2.3217,-1.4664,-0.6275
7.945633,-2.5166,-1.9176,-0.655
7.96276,-2.4668,-2.003,-0.8319
7.979753,-1.8604,-1.6015,-1.051
7.9967,-0.5004,-0.7886,-2.0693
8.013657,1.3003,-0.2837,-3.641
8.030536,2.7171,-0.4063,-4.2491
8.04755,3.0609,-0.8841,-3.9352
8.065617,2.2842,-1.237,-3.297
8.08165,1.1924,-1.3934,-2.0281
8.100206,-0.2403,-1.6163,-0.5968
8.116057,-0.8909,-1.8604,0.858
8.132785,-1.0358,-1.9074,2.6968
8.14963,-0.7516,-1.9681,4.3228
8.166891,-0.3709,-2.1348,4.9927
8.18404,-0.2151,-2.3826,3.9613
8.201075,-0.3221,-2.1258,1.9489
8.21792,-0.1655,-1.0447,0.3148
8.235309,0.1474,-0.0849,0.5177
8.251981,0.8639,0.384,1.6997
8.270072,1.5142,0.7551,2.081
8.286242,1.8696,1.2336,1.7882
8.303435,1.9145,1.4811,1.6711
8.320072,1.9032,1.4629,1.7331
8.337061,1.8519,1.4245,1.9249
8.354629,1.7206,1.4454,2.0911
8.371561,1.398,1.4591,1.8015
8.388182,0.6633,1.2988,1.2428
8.405658,-0.3012,0.9493,0.7285
8.422455,-1.3343,0.5397,0.1646
8.43931,-2.2572,0.1889,0.1774
8.456366,-2.6341,0.1705,0.5097
8.473897,-2.3526,0.5439,0.8349
8.49093,-1.9973,1.086,0.8019
8.508644,-1.8138,1.3801,0.1941
8.52505,-1.5416,1.1843,-0.5036
8.541427,-1.2923,0.6046,-0.7807
8.558691,-0.8211,-0.0576,-1.0935
8.576121,-0.1973,-0.3921,-1.6986
8.592914,-0.0416,-0.1295,-2.0336
8.609822,-0.3064,0.6176,-1.4742
8.626873,-0.3397,1.267,-0.5441
8.644012,-0.0784,1.7102,-0.0392
8.660843,0.1323,1.9354,0.2739
8.678212,0.1045,1.9678,0.5925
8.695092,-0.0127,1.7683,1.1519
8.711947,0.1445,1.417,1.4861
8.729434,0.6058,0.9124,1.4505
8.745926,1.4266,-0.2898,1.2901
8.763494,2.5264,-2.0334,0.424
8.78011,3.3194,-3.0787,-1.5753
8.797031,3.0832,-3.7452,-2.7911
8.814401,2.6395,-4.602,-3.1683
8.831293,2.6158,-3.9999,-2.6866
8.848429,2.1885,-2.0413,-0.8222
8.86557,1.2655,-0.1347,1.3843
8.882657,0.5737,1.3896,3.295
8.899601,-0.1287,2.2539,4.726
8.917524,-0.8049,2.0202,5.3178
8.933435,-1.1503,0.4036,5.1372
8.950916,-1.2585,-1.3611,3.8214
8.967445,-1.4443,-2.4585,1.7547
8.985018,-1.6238,-2.0234,0.9379
9.001533,-1.4119,-0.5288,1.3963
9.018619,-0.3074,0.0898,2.5119
9.03576,0.5529,0.3454,3.1493
9.052711,1.0334,0.2524,2.9064
9.069656,1.0172,-0.0633,1.9217
9.086906,0.5012,-0.3192,0.9547
9.107995,-0.2989,-0.5811,0.5212
9.123513,-1.0802,-0.5835,0.2799
9.141189,-1.6666,-0.3863,0.174
9.155462,-1.9621,-0.0317,0.1566
9.171857,-1.8107,0.2732,0.1991
9.188871,-1.1615,0.1943,0.1501
9.205866,-0.2532,-0.0573,-0.1256
